"","X","total_bill","tip","sex","smoker","day","time","size"
"1",1,16.99,1.01,"Female","No","Sun","Dinner",2
"2",2,10.34,1.66,"Male","No","Sun","Dinner",3
"3",3,21.01,3.5,"Male","No","Sun","Dinner",3
"4",4,23.68,3.31,"Male","No","Sun","Dinner",2
"5",5,24.59,3.61,"Female","No","Sun","Dinner",4
"6",6,25.29,4.71,"Male","No","Sun","Dinner",4
"7",7,8.77,2,"Male","No","Sun","Dinner",2
"8",8,26.88,3.12,"Male","No","Sun","Dinner",4
"9",9,15.04,1.96,"Male","No","Sun","Dinner",2
"10",10,14.78,3.23,"Male","No","Sun","Dinner",2
"11",11,10.27,1.71,"Male","No","Sun","Dinner",2
"12",12,35.26,5,"Female","No","Sun","Dinner",4
"13",13,15.42,1.57,"Male","No","Sun","Dinner",2
"14",14,18.43,3,"Male","No","Sun","Dinner",4
"15",15,14.83,3.02,"Female","No","Sun","Dinner",2
"16",16,21.58,3.92,"Male","No","Sun","Dinner",2
"17",17,10.33,1.67,"Female","No","Sun","Dinner",3
"18",18,16.29,3.71,"Male","No","Sun","Dinner",3
"19",19,16.97,3.5,"Female","No","Sun","Dinner",3
"20",20,20.65,3.35,"Male","No","Sat","Dinner",3
"21",21,17.92,4.08,"Male","No","Sat","Dinner",2
"22",22,20.29,2.75,"Female","No","Sat","Dinner",2
"23",23,15.77,2.23,"Female","No","Sat","Dinner",2
"24",24,39.42,7.58,"Male","No","Sat","Dinner",4
"25",25,19.82,3.18,"Male","No","Sat","Dinner",2
"26",26,17.81,2.34,"Male","No","Sat","Dinner",4
"27",27,13.37,2,"Male","No","Sat","Dinner",2
"28",28,12.69,2,"Male","No","Sat","Dinner",2
"29",29,21.7,4.3,"Male","No","Sat","Dinner",2
"30",30,19.65,3,"Female","No","Sat","Dinner",2
"31",31,9.55,1.45,"Male","No","Sat","Dinner",2
"32",32,18.35,2.5,"Male","No","Sat","Dinner",4
"33",33,15.06,3,"Female","No","Sat","Dinner",2
"34",34,20.69,2.45,"Female","No","Sat","Dinner",4
"35",35,17.78,3.27,"Male","No","Sat","Dinner",2
"36",36,24.06,3.6,"Male","No","Sat","Dinner",3
"37",37,16.31,2,"Male","No","Sat","Dinner",3
"38",38,16.93,3.07,"Female","No","Sat","Dinner",3
"39",39,18.69,2.31,"Male","No","Sat","Dinner",3
"40",40,31.27,5,"Male","No","Sat","Dinner",3
"41",41,16.04,2.24,"Male","No","Sat","Dinner",3
"42",42,17.46,2.54,"Male","No","Sun","Dinner",2
"43",43,13.94,3.06,"Male","No","Sun","Dinner",2
"44",44,9.68,1.32,"Male","No","Sun","Dinner",2
"45",45,30.4,5.6,"Male","No","Sun","Dinner",4
"46",46,18.29,3,"Male","No","Sun","Dinner",2
"47",47,22.23,5,"Male","No","Sun","Dinner",2
"48",48,32.4,6,"Male","No","Sun","Dinner",4
"49",49,28.55,2.05,"Male","No","Sun","Dinner",3
"50",50,18.04,3,"Male","No","Sun","Dinner",2
"51",51,12.54,2.5,"Male","No","Sun","Dinner",2
"52",52,10.29,2.6,"Female","No","Sun","Dinner",2
"53",53,34.81,5.2,"Female","No","Sun","Dinner",4
"54",54,9.94,1.56,"Male","No","Sun","Dinner",2
"55",55,25.56,4.34,"Male","No","Sun","Dinner",4
"56",56,19.49,3.51,"Male","No","Sun","Dinner",2
"57",57,38.01,3,"Male","Yes","Sat","Dinner",4
"58",58,26.41,1.5,"Female","No","Sat","Dinner",2
"59",59,11.24,1.76,"Male","Yes","Sat","Dinner",2
"60",60,48.27,6.73,"Male","No","Sat","Dinner",4
"61",61,20.29,3.21,"Male","Yes","Sat","Dinner",2
"62",62,13.81,2,"Male","Yes","Sat","Dinner",2
"63",63,11.02,1.98,"Male","Yes","Sat","Dinner",2
"64",64,18.29,3.76,"Male","Yes","Sat","Dinner",4
"65",65,17.59,2.64,"Male","No","Sat","Dinner",3
"66",66,20.08,3.15,"Male","No","Sat","Dinner",3
"67",67,16.45,2.47,"Female","No","Sat","Dinner",2
"68",68,3.07,1,"Female","Yes","Sat","Dinner",1
"69",69,20.23,2.01,"Male","No","Sat","Dinner",2
"70",70,15.01,2.09,"Male","Yes","Sat","Dinner",2
"71",71,12.02,1.97,"Male","No","Sat","Dinner",2
"72",72,17.07,3,"Female","No","Sat","Dinner",3
"73",73,26.86,3.14,"Female","Yes","Sat","Dinner",2
"74",74,25.28,5,"Female","Yes","Sat","Dinner",2
"75",75,14.73,2.2,"Female","No","Sat","Dinner",2
"76",76,10.51,1.25,"Male","No","Sat","Dinner",2
"77",77,17.92,3.08,"Male","Yes","Sat","Dinner",2
"78",78,27.2,4,"Male","No","Thur","Lunch",4
"79",79,22.76,3,"Male","No","Thur","Lunch",2
"80",80,17.29,2.71,"Male","No","Thur","Lunch",2
"81",81,19.44,3,"Male","Yes","Thur","Lunch",2
"82",82,16.66,3.4,"Male","No","Thur","Lunch",2
"83",83,10.07,1.83,"Female","No","Thur","Lunch",1
"84",84,32.68,5,"Male","Yes","Thur","Lunch",2
"85",85,15.98,2.03,"Male","No","Thur","Lunch",2
"86",86,34.83,5.17,"Female","No","Thur","Lunch",4
"87",87,13.03,2,"Male","No","Thur","Lunch",2
"88",88,18.28,4,"Male","No","Thur","Lunch",2
"89",89,24.71,5.85,"Male","No","Thur","Lunch",2
"90",90,21.16,3,"Male","No","Thur","Lunch",2
"91",91,28.97,3,"Male","Yes","Fri","Dinner",2
"92",92,22.49,3.5,"Male","No","Fri","Dinner",2
"93",93,5.75,1,"Female","Yes","Fri","Dinner",2
"94",94,16.32,4.3,"Female","Yes","Fri","Dinner",2
"95",95,22.75,3.25,"Female","No","Fri","Dinner",2
"96",96,40.17,4.73,"Male","Yes","Fri","Dinner",4
"97",97,27.28,4,"Male","Yes","Fri","Dinner",2
"98",98,12.03,1.5,"Male","Yes","Fri","Dinner",2
"99",99,21.01,3,"Male","Yes","Fri","Dinner",2
"100",100,12.46,1.5,"Male","No","Fri","Dinner",2
"101",101,11.35,2.5,"Female","Yes","Fri","Dinner",2
"102",102,15.38,3,"Female","Yes","Fri","Dinner",2
"103",103,44.3,2.5,"Female","Yes","Sat","Dinner",3
"104",104,22.42,3.48,"Female","Yes","Sat","Dinner",2
"105",105,20.92,4.08,"Female","No","Sat","Dinner",2
"106",106,15.36,1.64,"Male","Yes","Sat","Dinner",2
"107",107,20.49,4.06,"Male","Yes","Sat","Dinner",2
"108",108,25.21,4.29,"Male","Yes","Sat","Dinner",2
"109",109,18.24,3.76,"Male","No","Sat","Dinner",2
"110",110,14.31,4,"Female","Yes","Sat","Dinner",2
"111",111,14,3,"Male","No","Sat","Dinner",2
"112",112,7.25,1,"Female","No","Sat","Dinner",1
"113",113,38.07,4,"Male","No","Sun","Dinner",3
"114",114,23.95,2.55,"Male","No","Sun","Dinner",2
"115",115,25.71,4,"Female","No","Sun","Dinner",3
"116",116,17.31,3.5,"Female","No","Sun","Dinner",2
"117",117,29.93,5.07,"Male","No","Sun","Dinner",4
"118",118,10.65,1.5,"Female","No","Thur","Lunch",2
"119",119,12.43,1.8,"Female","No","Thur","Lunch",2
"120",120,24.08,2.92,"Female","No","Thur","Lunch",4
"121",121,11.69,2.31,"Male","No","Thur","Lunch",2
"122",122,13.42,1.68,"Female","No","Thur","Lunch",2
"123",123,14.26,2.5,"Male","No","Thur","Lunch",2
"124",124,15.95,2,"Male","No","Thur","Lunch",2
"125",125,12.48,2.52,"Female","No","Thur","Lunch",2
"126",126,29.8,4.2,"Female","No","Thur","Lunch",6
"127",127,8.52,1.48,"Male","No","Thur","Lunch",2
"128",128,14.52,2,"Female","No","Thur","Lunch",2
"129",129,11.38,2,"Female","No","Thur","Lunch",2
"130",130,22.82,2.18,"Male","No","Thur","Lunch",3
"131",131,19.08,1.5,"Male","No","Thur","Lunch",2
"132",132,20.27,2.83,"Female","No","Thur","Lunch",2
"133",133,11.17,1.5,"Female","No","Thur","Lunch",2
"134",134,12.26,2,"Female","No","Thur","Lunch",2
"135",135,18.26,3.25,"Female","No","Thur","Lunch",2
"136",136,8.51,1.25,"Female","No","Thur","Lunch",2
"137",137,10.33,2,"Female","No","Thur","Lunch",2
"138",138,14.15,2,"Female","No","Thur","Lunch",2
"139",139,16,2,"Male","Yes","Thur","Lunch",2
"140",140,13.16,2.75,"Female","No","Thur","Lunch",2
"141",141,17.47,3.5,"Female","No","Thur","Lunch",2
"142",142,34.3,6.7,"Male","No","Thur","Lunch",6
"143",143,41.19,5,"Male","No","Thur","Lunch",5
"144",144,27.05,5,"Female","No","Thur","Lunch",6
"145",145,16.43,2.3,"Female","No","Thur","Lunch",2
"146",146,8.35,1.5,"Female","No","Thur","Lunch",2
"147",147,18.64,1.36,"Female","No","Thur","Lunch",3
"148",148,11.87,1.63,"Female","No","Thur","Lunch",2
"149",149,9.78,1.73,"Male","No","Thur","Lunch",2
"150",150,7.51,2,"Male","No","Thur","Lunch",2
"151",151,14.07,2.5,"Male","No","Sun","Dinner",2
"152",152,13.13,2,"Male","No","Sun","Dinner",2
"153",153,17.26,2.74,"Male","No","Sun","Dinner",3
"154",154,24.55,2,"Male","No","Sun","Dinner",4
"155",155,19.77,2,"Male","No","Sun","Dinner",4
"156",156,29.85,5.14,"Female","No","Sun","Dinner",5
"157",157,48.17,5,"Male","No","Sun","Dinner",6
"158",158,25,3.75,"Female","No","Sun","Dinner",4
"159",159,13.39,2.61,"Female","No","Sun","Dinner",2
"160",160,16.49,2,"Male","No","Sun","Dinner",4
"161",161,21.5,3.5,"Male","No","Sun","Dinner",4
"162",162,12.66,2.5,"Male","No","Sun","Dinner",2
"163",163,16.21,2,"Female","No","Sun","Dinner",3
"164",164,13.81,2,"Male","No","Sun","Dinner",2
"165",165,17.51,3,"Female","Yes","Sun","Dinner",2
"166",166,24.52,3.48,"Male","No","Sun","Dinner",3
"167",167,20.76,2.24,"Male","No","Sun","Dinner",2
"168",168,31.71,4.5,"Male","No","Sun","Dinner",4
"169",169,10.59,1.61,"Female","Yes","Sat","Dinner",2
"170",170,10.63,2,"Female","Yes","Sat","Dinner",2
"171",171,50.81,10,"Male","Yes","Sat","Dinner",3
"172",172,15.81,3.16,"Male","Yes","Sat","Dinner",2
