"","bisonID","basisOfRecord","catalogNumber","collectorNumber","recordedBy","providerID","institutionCode","resourceID","ownerInstitutionCollectionCode","eventDate","year","providedScientificName","scientificName","ITISscientificName","providedCommonName","ITIScommonName","ITIStsn","validAcceptedITIStsn","decimalLatitude","decimalLongitude","computedCountyFips","providedCounty","calculatedCounty","providedState","calculatedState","countryCode","institutionID","collectionID"
"1",39888798,"fossil","199213","","",108,"Marine Science Institute, UCSB","108,563","Paleobiology Database","",NA,"Puma concolor (Linnaeus, 1771)","Puma concolor","Puma concolor","","Cougar;mountain lion;Puma",552479,552479,42.79999924,-112.9000015,16077,"Power","Power County","Idaho","Idaho","US","http://msi.ucsb.edu","http://paleodb.org"
"2",70164781,"specimen","51193","","G. W. Kammeyer",25,"University of Washington Burke Museum","25,124","Mammal Specimens","1981-04-20T00:00Z",1981,"Puma concolor (Linnaeus, 1771)","Puma concolor","Puma concolor","","Cougar;mountain lion;Puma",552479,552479,43.20700073,-123.178299,41019,"Douglas","Douglas County","Oregon","Oregon","US","http://www.washington.edu/burkemuseum/collections/index.php","http://www.washington.edu/burkemuseum/collections/mammalogy/index.php"
"3",919441922,"specimen","MR.13178","","Donald W. Foster",110,"Michigan State University Museum","110,201,173","MSU Mammalogy, Ornithology and Vertebrate Paleontology Collections","",1967,"Felis concolor couguar Kerr, 1792","Felis concolor couguar","Puma concolor couguar","","eastern cougar;eastern puma",202392,622093,43.28714371,-83.90348053,26145,"Saginaw","Saginaw County","Michigan","Michigan","US","http://museum.msu.edu","http://museum.msu.edu/?q=natural"
"4",70164784,"specimen","51196","","Douglas Co. Animal Control",25,"University of Washington Burke Museum","25,124","Mammal Specimens","1982-06-23T00:00Z",1982,"Puma concolor (Linnaeus, 1771)","Puma concolor","Puma concolor","","Cougar;mountain lion;Puma",552479,552479,43.30170059,-123.0999985,41019,"Douglas","Douglas County","Oregon","Oregon","US","http://www.washington.edu/burkemuseum/collections/index.php","http://www.washington.edu/burkemuseum/collections/mammalogy/index.php"
"5",1039527756,"specimen","YPM MAM 008785","","J. B. Hatcher",207,"Yale University Peabody Museum","2,071,022","Vertebrate Zoology Division - Mammalogy, Yale Peabody Museum","1891-01-01T00:00Z",1891,"Puma concolor couguar (Kerr, 1792)","Puma concolor couguar","Puma concolor couguar","","eastern cougar;eastern puma",622093,622093,43.03250122,-104.6414032,56027,"Niobrara County","Niobrara County","Wyoming","Wyoming","US","http://www.peabody.yale.edu","http://www.peabody.yale.edu/collections/vz"
"6",70164571,"specimen","35219","","ODFW CW-1-82",25,"University of Washington Burke Museum","25,124","Mammal Specimens","1982-09-10T00:00Z",1982,"Puma concolor (Linnaeus, 1771)","Puma concolor","Puma concolor","","Cougar;mountain lion;Puma",552479,552479,43.39670181,-123.1980972,41019,"Douglas","Douglas County","Oregon","Oregon","US","http://www.washington.edu/burkemuseum/collections/index.php","http://www.washington.edu/burkemuseum/collections/mammalogy/index.php"
"7",70164776,"specimen","51188","","Forney",25,"University of Washington Burke Museum","25,124","Mammal Specimens","1982-09-10T00:00Z",1982,"Puma concolor (Linnaeus, 1771)","Puma concolor","Puma concolor","","Cougar;mountain lion;Puma",552479,552479,43.39670181,-123.1980972,41019,"Douglas","Douglas County","Oregon","Oregon","US","http://www.washington.edu/burkemuseum/collections/index.php","http://www.washington.edu/burkemuseum/collections/mammalogy/index.php"
"8",70164778,"specimen","51190","","Denely",25,"University of Washington Burke Museum","25,124","Mammal Specimens","1981-03-18T00:00Z",1981,"Puma concolor (Linnaeus, 1771)","Puma concolor","Puma concolor","","Cougar;mountain lion;Puma",552479,552479,43.41130066,-123.1387024,41019,"Douglas","Douglas County","Oregon","Oregon","US","http://www.washington.edu/burkemuseum/collections/index.php","http://www.washington.edu/burkemuseum/collections/mammalogy/index.php"
"9",70164783,"specimen","51195","","T. Denely",25,"University of Washington Burke Museum","25,124","Mammal Specimens","1980-12-11T00:00Z",1980,"Puma concolor (Linnaeus, 1771)","Puma concolor","Puma concolor","","Cougar;mountain lion;Puma",552479,552479,43.38209915,-123.2574997,41019,"Douglas","Douglas County","Oregon","Oregon","US","http://www.washington.edu/burkemuseum/collections/index.php","http://www.washington.edu/burkemuseum/collections/mammalogy/index.php"
"10",70164777,"specimen","51189","","D. Johnson",25,"University of Washington Burke Museum","25,124","Mammal Specimens","1981-03-07T00:00Z",1981,"Puma concolor (Linnaeus, 1771)","Puma concolor","Puma concolor","","Cougar;mountain lion;Puma",552479,552479,43.36750031,-123.2377014,41019,"Douglas","Douglas County","Oregon","Oregon","US","http://www.washington.edu/burkemuseum/collections/index.php","http://www.washington.edu/burkemuseum/collections/mammalogy/index.php"
